"id","parti","start_aar","kjonn","fodselsaar","varighet","maa_gaa"
637,"H",1981,"Male",1936,601,0
637,"H",1983,"Male",1936,845,0
637,"H",1985,"Male",1936,206,0
637,"H",1986,"Male",1936,13,0
650,"H",1981,"Male",1926,601,0
650,"H",1983,"Male",1926,845,0
650,"H",1985,"Male",1926,219,1
657,"V",1970,"Male",1920,199,0
662,"H",1965,"Male",1912,1449,0
662,"H",1969,"Male",1912,531,0
670,"DNA",1976,"Female",1932,624,0
670,"DNA",1977,"Female",1932,737,2
672,"H",1981,"Female",1940,601,0
672,"H",1983,"Female",1940,849,2
673,"DNA",1979,"Female",1950,484,0
673,"DNA",1981,"Female",1950,251,0
673,"DNA",1986,"Female",1950,1255,3
673,"DNA",1996,"Female",1950,356,0
682,"DNA",1979,"Male",1938,484,0
682,"DNA",1981,"Male",1938,251,0
691,"V",1965,"Male",1919,1449,0
691,"V",1969,"Male",1919,332,1
693,"H",1981,"Female",1937,601,0
693,"H",1985,"Female",1937,216,0
693,"H",1989,"Female",1937,382,1
694,"H",1965,"Female",1923,1449,0
694,"H",1969,"Female",1923,367,0
697,"DNA",1953,"Female",1906,69,0
697,"DNA",1954,"Female",1906,375,0
697,"DNA",1955,"Female",1906,191,0
700,"DNA",1960,"Male",1913,525,0
700,"DNA",1961,"Male",1913,695,0
700,"DNA",1963,"Male",1913,747,0
702,"H",1981,"Male",1942,601,2
702,"H",1983,"Male",1942,845,0
702,"H",1985,"Male",1942,206,1
703,"DNA",1954,"Male",1902,220,2
703,"DNA",1955,"Male",1902,1084,2
703,"DNA",1958,"Male",1902,453,4
708,"DNA",1981,"Male",1929,251,0
709,"DNA",1955,"Male",1906,1084,0
709,"DNA",1958,"Male",1906,1358,2
709,"DNA",1961,"Male",1906,104,0
711,"H",1981,"Male",1948,601,0
711,"H",1986,"Male",1948,13,0
711,"H",1989,"Male",1948,382,0
712,"KrF",1972,"Male",1909,362,0
714,"KrF",1965,"Female",1919,1449,0
714,"KrF",1969,"Female",1919,531,0
717,"DNA",1963,"Male",1908,204,0
719,"Sp",1972,"Male",1921,362,0
720,"DNA",1979,"Male",1929,484,0
740,"DNA",1971,"Male",1933,580,0
740,"DNA",1979,"Male",1933,484,1
748,"DNA",1979,"Male",1931,484,0
748,"DNA",1981,"Male",1931,251,0
748,"DNA",1987,"Male",1931,951,0
748,"DNA",1990,"Male",1931,881,1
757,"H",1970,"Male",1922,298,1
757,"H",1981,"Male",1922,601,0
757,"H",1983,"Male",1922,845,2
757,"H",1985,"Male",1922,219,0
766,"Sp",1983,"Female",1944,845,1
766,"Sp",1985,"Female",1944,219,0
778,"H",1983,"Male",1930,749,0
778,"H",1989,"Male",1930,382,3
795,"H",1985,"Male",1941,216,1
795,"H",1989,"Male",1941,382,2
800,"H",1965,"Male",1921,1449,0
800,"H",1970,"Male",1921,14,0
800,"H",1970,"Male",1921,284,0
807,"DNA",1945,"Male",1901,792,3
807,"DNA",1951,"Male",1901,783,1
807,"DNA",1954,"Male",1901,375,3
812,"DNA",1962,"Male",1917,360,0
812,"DNA",1963,"Male",1917,747,0
813,"DNA",1971,"Male",1911,580,0
813,"DNA",1973,"Male",1911,820,0
825,"DNA",1973,"Male",1924,820,1
834,"DNA",1971,"Female",1921,580,0
834,"DNA",1973,"Female",1921,820,0
834,"DNA",1976,"Female",1921,624,0
834,"DNA",1977,"Female",1921,737,3
834,"DNA",1979,"Female",1921,361,0
835,"DNA",1955,"Male",1904,1084,0
835,"DNA",1958,"Male",1904,833,0
868,"KrF",1963,"Male",1894,27,0
870,"H",1963,"Male",1928,27,0
870,"H",1965,"Male",1928,1449,1
870,"H",1969,"Male",1928,247,0
870,"H",1981,"Male",1928,601,2
870,"H",1983,"Male",1928,314,0
870,"H",1984,"Male",1928,475,2
870,"H",1985,"Male",1928,219,1
879,"DNA",1960,"Male",1920,525,0
879,"DNA",1961,"Male",1920,695,0
900,"KrF",1965,"Male",1912,1449,0
900,"KrF",1969,"Male",1912,531,0
909,"DNA",1948,"Female",1890,602,0
909,"DNA",1950,"Female",1890,676,0
909,"DNA",1951,"Female",1890,714,0
1005,"KrF",1997,"Male",1947,514,0
1005,"KrF",1999,"Male",1947,367,4
1006,"DNA",1996,"Female",1945,302,0
1007,"KrF",1997,"Male",1942,881,0
1012,"H",1986,"Female",1936,20,0
1013,"SV",2007,"Female",1942,733,0
1013,"SV",2009,"Female",1942,884,0
1019,"DNA",1993,"Male",1947,181,0
1019,"DNA",1993,"Male",1947,1119,0
1019,"DNA",1996,"Male",1947,356,0
1019,"DNA",2000,"Male",1947,202,0
1021,"Sp",1997,"Female",1949,721,2
1022,"KrF",1989,"Female",1939,382,0
1024,"KrF",1989,"Male",1938,382,3
1025,"DNA",1996,"Male",1959,356,0
1025,"DNA",2000,"Male",1959,580,0
1025,"DNA",2009,"Male",1959,1440,0
1026,"Sp",1997,"Male",1937,881,0
1101,"DNA",2000,"Male",1965,580,0
1105,"DNA",2005,"Female",1965,731,0
1105,"DNA",2000,"Female",1965,580,1
1112,"DNA",1996,"Female",1966,356,0
1112,"DNA",2000,"Female",1966,580,0
1112,"DNA",2005,"Female",1966,977,0
1112,"DNA",2008,"Female",1966,487,1
1114,"H",1989,"Female",1957,365,0
1114,"H",2001,"Female",1957,1458,1
1116,"DNA",1987,"Male",1933,479,0
1116,"DNA",1988,"Male",1933,489,0
1118,"DNA",1991,"Male",1945,685,0
1118,"DNA",1993,"Male",1945,115,0
1118,"DNA",1994,"Male",1945,1004,0
1118,"DNA",1996,"Male",1945,356,0
1118,"DNA",2000,"Male",1945,580,0
1120,"SV",2005,"Female",1960,1464,2
1120,"SV",2009,"Female",1960,1440,1
1136,"DNA",1988,"Female",1943,489,0
1138,"KrF",1997,"Male",1945,881,3
1139,"H",2001,"Male",1946,1458,2
1155,"H",2001,"Female",1961,1458,0
1156,"SV",2005,"Male",1955,1464,0
1156,"SV",2009,"Male",1955,884,1
1166,"H",2004,"Female",1956,485,0
1168,"DNA",1986,"Female",1947,1255,1
1168,"DNA",1990,"Female",1947,1062,2
1168,"DNA",1993,"Female",1947,1119,0
1172,"KrF",1997,"Female",1942,461,2
1173,"DNA",1988,"Male",1937,489,0
1174,"DNA",1996,"Female",1962,356,0
1180,"DNA",2005,"Male",1955,347,0
1182,"H",1989,"Female",1944,382,0
1184,"DNA",1986,"Female",1946,1255,1
1184,"DNA",1990,"Female",1946,671,3
1188,"DNA",1986,"Male",1929,287,0
1191,"DNA",1986,"Male",1937,1255,2
1191,"DNA",1990,"Male",1937,881,2
1191,"DNA",1993,"Male",1937,181,0
1191,"DNA",1993,"Male",1937,77,0
1202,"DNA",1986,"Male",1934,766,1
1203,"H",1989,"Male",1948,382,1
1215,"Sp",1985,"Male",1953,216,0
1215,"H",1989,"Male",1953,382,0
1218,"DNA",1995,"Male",1949,307,0
1218,"DNA",1996,"Male",1949,356,0
1221,"KrF",1989,"Male",1942,382,0
1221,"KrF",2001,"Male",1942,973,2
1223,"Sp",1985,"Male",1943,216,0
1225,"Sp",1989,"Female",1944,382,3
1226,"DNA",1990,"Female",1940,671,2
1228,"DNA",1986,"Female",1930,766,1
1229,"Sp",1989,"Female",1933,382,0
1230,"Sp",1989,"Male",1936,382,0
1231,"DNA",1986,"Male",1928,1255,0
1236,"DNA",1990,"Male",1931,671,1
1237,"DNA",1990,"Male",1948,377,0
1238,"DNA",1990,"Female",1955,671,0
1238,"DNA",1992,"Female",1955,391,1
1238,"DNA",1993,"Female",1955,1119,2
1238,"DNA",1996,"Female",1955,54,3
1238,"DNA",2009,"Female",1955,751,0
1238,"DNA",2011,"Female",1955,689,0
1239,"DNA",1990,"Male",1941,1062,0
1239,"DNA",1993,"Male",1941,812,1
1239,"DNA",1995,"Male",1941,307,0
1239,"DNA",1996,"Male",1941,356,0
1240,"DNA",1990,"Female",1949,1062,1
1240,"DNA",1993,"Female",1949,1119,0
1241,"DNA",1990,"Female",1942,377,2
1337,"DNA",1993,"Male",1959,1113,1
1337,"DNA",1996,"Male",1959,356,0
1337,"DNA",2000,"Male",1959,580,1
1337,"DNA",2005,"Male",1959,1464,0
1337,"DNA",2009,"Male",1959,1440,3
1357,"Sp",1997,"Female",1948,881,0
1357,"Sp",2007,"Female",1948,760,0
1357,"Sp",2009,"Female",1948,971,4
2101,"Sp",1999,"Male",1954,366,0
2101,"Sp",2005,"Male",1954,704,1
2108,"V",1997,"Male",1957,881,4
2108,"V",2001,"Male",1957,1458,2
2111,"DNA",1994,"Female",1951,1004,1
2111,"DNA",1996,"Female",1951,356,0
2113,"SV",2005,"Male",1960,731,1
2114,"H",2001,"Female",1961,1458,5
2127,"DNA",1996,"Male",1950,356,2
2127,"DNA",2000,"Male",1950,580,0
2133,"Sp",2005,"Male",1968,977,0
2133,"Sp",2008,"Male",1968,487,0
2133,"Sp",2009,"Male",1968,499,6
2147,"KrF",1997,"Female",1956,881,1
2147,"KrF",2001,"Female",1956,1458,5
2158,"H",2001,"Male",1955,973,0
2158,"H",2004,"Male",1955,485,0
2162,"H",2001,"Male",1965,973,0
2162,"H",2004,"Male",1965,485,0
2188,"KrF",1997,"Female",1963,881,0
2188,"KrF",2001,"Female",1963,1458,0
2213,"Sp",2000,"Male",1955,55,0
2213,"Sp",2008,"Male",1955,487,1
2213,"Sp",2009,"Male",1955,971,1
2224,"Sp",1997,"Female",1962,525,0
2224,"Sp",1999,"Female",1962,202,0
2224,"Sp",2012,"Female",1962,469,0
2232,"DNA",1991,"Female",1954,685,1
2232,"DNA",1993,"Female",1954,84,0
2232,"DNA",1994,"Female",1954,933,6
2233,"DNA",1992,"Male",1949,391,0
2233,"DNA",1993,"Male",1949,812,0
2234,"DNA",1992,"Male",1956,391,0
2234,"DNA",1993,"Male",1956,1119,0
2235,"DNA",1993,"Male",1935,1113,0
2236,"DNA",1992,"Female",1948,391,0
2236,"DNA",1993,"Female",1948,1119,0
2236,"DNA",1996,"Female",1948,356,0
2257,"DNA",1990,"Female",1942,1062,0
2257,"DNA",1993,"Female",1942,6,0
2258,"DNA",1996,"Female",1958,77,1
2259,"DNA",1996,"Male",1957,356,0
2259,"DNA",2006,"Male",1957,630,0
2259,"DNA",2008,"Male",1957,469,0
2260,"DNA",1996,"Male",1947,21,0
2260,"DNA",1996,"Male",1947,14,3
2282,"DNA",1996,"Male",1942,321,0
2283,"DNA",1997,"Female",1949,254,1
2303,"DNA",2000,"Male",1966,580,1
2303,"DNA",2005,"Male",1966,1464,0
2303,"DNA",2009,"Male",1966,1440,0
2307,"DNA",2000,"Male",1962,580,1
2307,"DNA",2005,"Male",1962,977,1
2307,"DNA",2008,"Male",1962,487,0
2341,"KrF",1997,"Male",1946,881,0
2342,"V",1997,"Female",1943,514,0
2342,"V",1999,"Female",1943,367,0
2343,"KrF",1997,"Male",1957,881,0
2343,"KrF",2001,"Male",1957,973,0
2343,"KrF",2004,"Male",1957,485,0
2344,"V",1997,"Female",1964,881,0
4101,"DNA",2000,"Female",1958,580,0
4173,"KrF",1999,"Female",1948,367,0
4173,"KrF",2001,"Female",1948,1458,1
4185,"DNA",2000,"Male",1956,580,0
4298,"V",2001,"Female",1959,1458,1
4299,"Sp",1999,"Female",1959,160,0
4299,"Sp",2005,"Female",1959,704,0
4299,"Sp",2007,"Female",1959,267,1
18113,"DNA",1973,"Male",1918,820,1
18138,"Sp",1963,"Male",1924,27,0
18138,"Sp",1965,"Male",1924,1449,0
18138,"Sp",1969,"Male",1924,531,0
18138,"Sp",1972,"Male",1924,362,0
18146,"DNA",1976,"Male",1920,624,0
18146,"DNA",1977,"Male",1920,737,0
18146,"DNA",1979,"Male",1920,484,0
18146,"DNA",1981,"Male",1920,251,0
18150,"DNA",1976,"Male",1921,624,0
18150,"DNA",1977,"Male",1921,1221,0
18150,"DNA",1981,"Male",1921,251,0
26642,"DNA",2009,"Female",1963,1440,3
26853,"KrF",2004,"Male",1972,485,0
26896,"DNA",2008,"Female",1969,599,0
26896,"DNA",2009,"Female",1969,1066,0
26896,"DNA",2012,"Female",1969,374,0
27136,"DNA",2005,"Male",1964,1229,0
27136,"DNA",2009,"Male",1964,204,0
27136,"DNA",2009,"Male",1964,437,0
27136,"DNA",2011,"Male",1964,225,2
28188,"DNA",2000,"Female",1952,580,0
28213,"Sp",2005,"Female",1958,1320,1
28213,"Sp",2009,"Female",1958,134,0
28213,"Sp",2009,"Female",1958,1440,4
28257,"DNA",2000,"Female",1964,580,1
28258,"DNA",2000,"Female",1956,580,0
28259,"DNA",2000,"Male",1954,580,0
28260,"DNA",2000,"Female",1951,580,0
28261,"DNA",2000,"Male",1948,580,0
30073,"H",2001,"Male",1946,871,3
30206,"SV",2009,"Male",1977,404,0
30206,"SV",2011,"Male",1977,351,3
30217,"H",2001,"Female",1955,973,3
30222,"SV",2005,"Female",1967,1464,0
30658,"DNA",2005,"Female",1949,1464,1
30658,"DNA",2009,"Female",1949,1066,4
30658,"DNA",2012,"Female",1949,374,1
30960,"SV",2005,"Female",1954,731,4
31076,"H",2004,"Male",1959,587,0
31108,"DNA",2009,"Female",1960,1440,1
31230,"DNA",2007,"Female",1963,120,3
31246,"DNA",2009,"Female",1960,394,0
31246,"DNA",2011,"Female",1960,627,1
31300,"DNA",2005,"Male",1960,1464,0
31300,"DNA",2009,"Male",1960,1066,1
31300,"DNA",2012,"Male",1960,374,0
31301,"DNA",2005,"Female",1973,395,0
31301,"DNA",2007,"Female",1973,906,0
31302,"SV",2007,"Male",1971,244,0
31302,"SV",2008,"Male",1971,434,0
31302,"SV",2012,"Male",1971,556,0
32001,"SV",2012,"Female",1976,556,0
32002,"Sp",2011,"Male",1976,941,0
32003,"DNA",2011,"Male",1964,315,0
32003,"DNA",2012,"Male",1964,374,0
32004,"SV",2012,"Male",1972,556,0
32005,"Sp",2012,"Male",1978,469,0
32006,"DNA",2012,"Female",1983,374,0
